TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other,Date
00:00,2559.87,1170.24,563.94,654.06,120.35,26.35,24.93,12-01-2025
00:05,2499.16,1154.1,538.6,639.55,117.49,26.25,23.17,12-01-2025
00:10,2442.01,1125.49,529.74,621.57,116.0,26.0,23.21,12-01-2025
00:15,2424.03,1124.04,523.29,615.81,114.31,25.72,20.86,12-01-2025
00:20,2375.54,1097.98,504.12,611.16,113.21,25.47,23.6,12-01-2025
00:25,2345.9,1077.57,499.77,606.92,114.27,25.24,22.13,12-01-2025
00:30,2309.34,1062.21,495.03,596.62,112.87,24.79,17.82,12-01-2025
00:35,2287.73,1054.33,488.06,586.11,112.84,24.65,21.74,12-01-2025
00:40,2255.91,1034.51,479.06,583.81,112.64,24.48,21.41,12-01-2025
00:45,2234.88,1026.94,470.21,580.52,111.25,24.47,21.49,12-01-2025
00:50,2194.88,1007.83,461.03,570.06,111.09,24.27,20.6,12-01-2025
00:55,2173.35,998.5,455.56,564.12,110.22,24.3,20.65,12-01-2025
01:00,2146.63,987.75,450.44,555.78,108.13,24.16,20.37,12-01-2025
01:05,2108.76,970.38,439.65,544.3,109.44,23.99,21.0,12-01-2025
01:10,2079.0,958.34,437.09,531.66,108.46,23.74,19.71,12-01-2025
01:15,2061.11,949.65,433.59,526.72,108.18,23.46,19.51,12-01-2025
01:20,2033.71,941.75,424.4,516.89,108.76,23.42,18.49,12-01-2025
01:25,2016.95,927.86,422.79,514.46,106.79,23.18,21.87,12-01-2025
01:30,1993.02,922.01,418.49,503.68,107.34,23.09,18.41,12-01-2025
01:35,1976.55,917.64,411.2,498.52,108.06,23.16,17.97,12-01-2025
01:40,1973.22,912.91,413.04,499.98,105.74,23.23,18.32,12-01-2025
01:45,1959.26,904.98,406.48,499.47,106.19,23.1,19.04,12-01-2025
01:50,1948.44,894.39,402.61,498.48,106.92,23.29,22.75,12-01-2025
01:55,1932.54,890.65,400.81,493.92,105.46,23.32,18.38,12-01-2025
02:00,1912.6,881.11,396.76,487.99,105.47,23.19,18.08,12-01-2025
02:05,1902.52,878.13,394.74,483.64,104.66,23.28,18.07,12-01-2025
02:10,1879.23,868.22,385.07,481.32,103.67,23.13,17.82,12-01-2025
02:15,1867.72,858.36,386.43,478.31,104.06,22.85,17.71,12-01-2025
02:20,1861.0,857.21,383.66,475.87,103.85,22.75,17.66,12-01-2025
02:25,1849.75,853.36,380.89,471.94,103.49,22.46,17.61,12-01-2025
02:30,1833.28,845.87,377.0,466.51,104.12,22.43,17.35,12-01-2025
02:35,1826.04,844.53,373.27,466.11,102.76,22.39,16.98,12-01-2025
02:40,1820.06,842.48,371.12,462.49,102.12,22.52,19.33,12-01-2025
02:45,1815.04,837.79,371.48,464.13,102.02,22.62,17.0,12-01-2025
02:50,1812.63,838.3,369.26,460.91,101.54,22.66,19.96,12-01-2025
02:55,1800.71,831.37,367.99,458.86,102.82,22.75,16.92,12-01-2025
03:00,1792.18,833.35,363.05,454.37,101.46,22.92,17.03,12-01-2025
03:05,1794.37,834.36,365.6,452.81,101.68,22.84,17.08,12-01-2025
03:10,1790.17,835.06,364.44,449.51,101.47,22.67,17.02,12-01-2025
03:15,1787.09,831.96,363.36,447.71,102.31,22.59,19.16,12-01-2025
03:20,1772.13,829.77,357.45,443.32,102.21,22.61,16.77,12-01-2025
03:25,1773.76,830.3,358.86,443.38,101.46,22.9,16.86,12-01-2025
03:30,1766.02,827.88,358.0,440.1,100.27,23.03,16.74,12-01-2025
03:35,1771.07,827.01,360.09,443.23,101.05,23.08,16.61,12-01-2025
03:40,1764.09,824.11,358.4,440.22,101.43,23.13,16.8,12-01-2025
03:45,1770.64,826.83,357.96,444.04,101.92,23.11,16.78,12-01-2025
03:50,1764.84,828.67,355.31,439.32,101.57,23.06,16.91,12-01-2025
03:55,1759.81,825.88,352.56,439.84,102.31,23.06,16.16,12-01-2025
04:00,1768.36,832.12,353.57,442.19,102.41,23.12,14.95,12-01-2025
04:05,1775.91,836.25,353.68,443.87,102.61,23.25,16.25,12-01-2025
04:10,1788.83,842.71,355.59,447.81,102.56,23.36,16.8,12-01-2025
04:15,1798.15,848.4,360.76,447.2,101.19,23.39,17.21,12-01-2025
04:20,1801.39,849.41,357.65,450.61,102.4,23.74,17.58,12-01-2025
04:25,1820.33,855.74,365.14,456.41,101.85,23.69,17.5,12-01-2025
04:30,1825.58,863.16,367.03,451.93,102.47,23.79,17.2,12-01-2025
04:35,1841.19,865.21,367.48,464.58,102.62,24.01,17.29,12-01-2025
