TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other,Date,Season,DayOfWeek,IsHoliday
00:00,2298.1,1074.46,387.93,684.66,110.09,19.8,21.16,2025-01-22,Winter,Wednesday,False
00:05,2265.65,1046.52,391.26,680.59,108.46,19.59,19.23,2025-01-22,Winter,Wednesday,False
00:10,2239.79,1045.22,377.64,667.93,108.27,19.48,21.25,2025-01-22,Winter,Wednesday,False
00:15,2209.12,1043.24,362.61,655.18,107.97,19.37,20.75,2025-01-22,Winter,Wednesday,False
00:20,2187.0,1028.23,357.17,653.76,107.12,19.3,21.42,2025-01-22,Winter,Wednesday,False
00:25,2163.4,1018.4,351.46,644.91,106.17,19.19,23.27,2025-01-22,Winter,Wednesday,False
00:30,2121.59,1002.92,340.0,633.13,106.46,18.9,20.18,2025-01-22,Winter,Wednesday,False
00:35,2093.82,993.36,332.83,624.54,106.19,18.99,17.91,2025-01-22,Winter,Wednesday,False
00:40,2067.08,982.89,320.78,619.84,105.01,18.86,19.7,2025-01-22,Winter,Wednesday,False
00:45,2056.02,972.92,320.16,621.13,103.43,18.85,19.53,2025-01-22,Winter,Wednesday,False
00:50,2037.84,967.29,318.02,611.12,103.54,18.61,19.26,2025-01-22,Winter,Wednesday,False
00:55,2022.12,965.99,311.32,603.9,103.62,18.5,18.79,2025-01-22,Winter,Wednesday,False
01:00,1997.64,958.61,305.38,593.11,103.02,18.59,18.93,2025-01-22,Winter,Wednesday,False
01:05,1984.91,947.98,307.35,588.85,102.72,18.36,19.65,2025-01-22,Winter,Wednesday,False
01:10,1959.26,937.46,302.78,582.79,99.63,18.29,18.31,2025-01-22,Winter,Wednesday,False
01:15,1932.72,926.56,294.39,576.53,99.34,18.36,17.54,2025-01-22,Winter,Wednesday,False
01:20,1922.48,919.73,293.32,573.75,99.1,18.19,18.39,2025-01-22,Winter,Wednesday,False
01:25,1902.34,911.52,286.6,568.72,99.12,18.19,18.19,2025-01-22,Winter,Wednesday,False
01:30,1901.37,911.28,286.37,568.54,99.06,18.13,17.99,2025-01-22,Winter,Wednesday,False
01:35,1879.81,905.21,277.54,565.42,99.04,18.1,14.5,2025-01-22,Winter,Wednesday,False
01:40,1868.5,899.74,272.71,560.83,99.5,18.07,17.65,2025-01-22,Winter,Wednesday,False
01:45,1861.74,896.4,271.58,557.07,98.67,18.02,20.0,2025-01-22,Winter,Wednesday,False
01:50,1844.9,890.95,268.04,550.87,99.43,18.14,17.47,2025-01-22,Winter,Wednesday,False
01:55,1835.17,886.83,264.71,548.76,99.43,18.05,17.39,2025-01-22,Winter,Wednesday,False
02:00,1828.05,884.67,262.04,547.29,98.59,18.11,17.35,2025-01-22,Winter,Wednesday,False
02:05,1818.12,881.05,259.62,543.96,97.75,18.31,17.43,2025-01-22,Winter,Wednesday,False
02:10,1802.68,879.2,255.59,535.26,97.36,18.12,17.15,2025-01-22,Winter,Wednesday,False
02:15,1799.96,875.81,255.23,537.59,95.95,18.1,17.28,2025-01-22,Winter,Wednesday,False
02:20,1796.64,882.23,250.62,532.24,96.31,18.22,17.02,2025-01-22,Winter,Wednesday,False
02:25,1776.22,866.87,250.08,528.06,96.16,18.18,16.87,2025-01-22,Winter,Wednesday,False
02:30,1773.0,868.39,245.97,527.65,95.86,18.2,16.93,2025-01-22,Winter,Wednesday,False
02:35,1771.82,863.46,247.08,531.08,95.28,18.12,16.8,2025-01-22,Winter,Wednesday,False
02:40,1768.88,863.35,240.88,534.51,95.17,18.13,16.84,2025-01-22,Winter,Wednesday,False
02:45,1761.82,858.93,240.57,531.94,95.42,18.24,16.72,2025-01-22,Winter,Wednesday,False
02:50,1761.19,857.5,241.04,532.13,95.68,18.15,16.69,2025-01-22,Winter,Wednesday,False
02:55,1753.69,857.91,239.74,527.78,95.46,18.25,14.55,2025-01-22,Winter,Wednesday,False
03:00,1745.22,856.35,239.54,518.56,95.83,18.2,16.74,2025-01-22,Winter,Wednesday,False
03:05,1741.14,857.28,237.63,516.2,95.84,18.35,15.84,2025-01-22,Winter,Wednesday,False
03:10,1749.78,867.99,243.85,507.28,95.58,18.35,16.73,2025-01-22,Winter,Wednesday,False
03:15,1749.27,863.45,239.11,515.79,95.83,18.46,16.63,2025-01-22,Winter,Wednesday,False
03:20,1741.24,862.06,237.31,512.77,96.12,18.63,14.35,2025-01-22,Winter,Wednesday,False
03:25,1747.01,863.36,241.17,513.59,95.94,18.58,14.37,2025-01-22,Winter,Wednesday,False
03:30,1764.22,873.69,243.13,516.23,95.93,18.64,16.6,2025-01-22,Winter,Wednesday,False
03:35,1745.88,871.64,239.22,505.26,94.44,18.93,16.39,2025-01-22,Winter,Wednesday,False
03:40,1744.6,866.39,236.03,510.09,96.41,19.11,16.57,2025-01-22,Winter,Wednesday,False
03:45,1739.68,866.73,234.77,505.53,96.82,19.03,16.8,2025-01-22,Winter,Wednesday,False
03:50,1755.09,870.57,236.59,516.09,96.46,18.99,16.39,2025-01-22,Winter,Wednesday,False
03:55,1750.5,875.67,234.28,508.54,96.05,19.35,16.61,2025-01-22,Winter,Wednesday,False
04:00,1755.14,872.28,236.29,513.91,96.79,19.42,16.45,2025-01-22,Winter,Wednesday,False
04:05,1778.42,884.43,243.1,519.15,96.73,19.78,15.23,2025-01-22,Winter,Wednesday,False
04:10,1787.21,891.2,244.36,518.16,96.56,19.86,17.07,2025-01-22,Winter,Wednesday,False
04:15,1812.05,901.7,249.31,526.71,95.91,20.06,18.36,2025-01-22,Winter,Wednesday,False
04:20,1811.75,902.1,248.56,526.52,97.17,20.14,17.26,2025-01-22,Winter,Wednesday,False
04:25,1830.51,909.09,249.92,533.46,96.99,20.21,20.84,2025-01-22,Winter,Wednesday,False
04:30,1851.58,915.08,261.21,540.24,97.2,20.33,17.52,2025-01-22,Winter,Wednesday,False
04:35,1878.57,930.6,266.44,545.41,97.75,20.54,17.83,2025-01-22,Winter,Wednesday,False
04:40,1890.12,928.33,274.75,549.38,98.88,20.82,17.96,2025-01-22,Winter,Wednesday,False
04:45,1925.06,946.73,278.8,558.11,99.98,21.03,20.41,2025-01-22,Winter,Wednesday,False
04:50,1965.11,962.05,288.73,575.33,99.24,21.25,18.51,2025-01-22,Winter,Wednesday,False
04:55,1978.45,969.54,287.55,581.81,99.3,21.55,18.7,2025-01-22,Winter,Wednesday,False
05:00,2016.1,989.97,297.35,587.42,100.81,21.88,18.67,2025-01-22,Winter,Wednesday,False
05:05,2055.94,1008.95,312.86,591.62,101.77,22.5,18.24,2025-01-22,Winter,Wednesday,False
05:10,2133.07,1035.68,334.46,615.59,103.88,23.2,20.26,2025-01-22,Winter,Wednesday,False
05:15,2173.87,1056.02,339.69,631.53,103.21,23.66,19.76,2025-01-22,Winter,Wednesday,False
05:20,2237.55,1082.13,352.8,651.73,105.34,24.28,21.27,2025-01-22,Winter,Wednesday,False
05:25,2291.01,1097.93,367.93,672.97,105.25,25.07,21.86,2025-01-22,Winter,Wednesday,False
05:30,2354.86,1126.83,381.15,690.84,106.84,25.99,23.21,2025-01-22,Winter,Wednesday,False
05:35,2442.14,1162.68,403.08,717.44,108.94,27.16,22.84,2025-01-22,Winter,Wednesday,False
05:40,2490.82,1172.99,425.72,730.67,110.4,27.96,23.08,2025-01-22,Winter,Wednesday,False
05:45,2581.16,1212.14,439.85,766.06,110.18,28.39,24.54,2025-01-22,Winter,Wednesday,False
05:50,2658.6,1246.83,458.87,790.61,111.59,29.59,21.11,2025-01-22,Winter,Wednesday,False
05:55,2731.22,1269.08,481.09,812.95,111.63,30.66,25.81,2025-01-22,Winter,Wednesday,False
06:00,2833.47,1309.02,510.77,842.07,112.93,31.46,27.22,2025-01-22,Winter,Wednesday,False
06:05,2984.08,1372.5,538.56,892.63,117.61,33.13,29.65,2025-01-22,Winter,Wednesday,False
06:10,3084.59,1407.95,568.37,926.45,118.91,33.74,29.17,2025-01-22,Winter,Wednesday,False
06:15,3213.15,1448.99,602.18,957.16,122.95,34.97,46.9,2025-01-22,Winter,Wednesday,False
06:20,3314.6,1503.32,620.22,999.39,124.05,36.08,31.54,2025-01-22,Winter,Wednesday,False
06:25,3460.28,1553.89,680.63,1033.9,130.15,36.56,25.15,2025-01-22,Winter,Wednesday,False
06:30,3545.06,1580.08,688.51,1071.37,131.9,37.54,35.66,2025-01-22,Winter,Wednesday,False
06:35,3631.5,1611.81,708.7,1101.73,135.99,38.76,34.51,2025-01-22,Winter,Wednesday,False
06:40,3717.45,1644.9,737.75,1125.46,134.99,39.15,35.2,2025-01-22,Winter,Wednesday,False
06:45,3813.63,1697.68,744.08,1146.78,141.12,40.51,43.46,2025-01-22,Winter,Wednesday,False
06:50,3867.59,1696.01,790.94,1177.88,141.57,41.1,20.09,2025-01-22,Winter,Wednesday,False
06:55,3922.57,1732.79,792.64,1179.49,147.22,33.49,36.94,2025-01-22,Winter,Wednesday,False
07:00,3996.48,1745.1,818.07,1208.75,144.75,41.9,37.91,2025-01-22,Winter,Wednesday,False
07:05,4084.46,1770.7,850.5,1230.67,150.5,42.3,39.79,2025-01-22,Winter,Wednesday,False
07:10,4132.37,1776.18,860.82,1263.53,153.87,42.28,35.69,2025-01-22,Winter,Wednesday,False
07:15,4195.48,1785.95,882.77,1293.18,157.2,42.92,33.46,2025-01-22,Winter,Wednesday,False
07:20,4248.45,1830.96,904.48,1275.73,153.67,43.23,40.38,2025-01-22,Winter,Wednesday,False
07:25,4274.08,1831.84,904.62,1293.33,156.05,42.93,45.31,2025-01-22,Winter,Wednesday,False
07:30,4319.77,1829.34,934.9,1317.52,153.14,43.42,41.45,2025-01-22,Winter,Wednesday,False
07:35,4343.36,1843.2,931.64,1325.32,159.26,43.07,40.87,2025-01-22,Winter,Wednesday,False
