TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other,Date,Season,DayOfWeek,IsHoliday
00:00,6352.65,2840.74,1497.78,1748.18,178.3,27.31,60.34,2018-07-09,Summer,Monday,False
00:05,6298.17,2815.58,1493.68,1723.96,177.88,27.24,59.83,2018-07-09,Summer,Monday,False
00:10,6281.66,2810.44,1484.03,1724.0,176.44,27.08,59.67,2018-07-09,Summer,Monday,False
00:15,6261.95,2813.13,1468.55,1716.42,177.27,27.08,59.5,2018-07-09,Summer,Monday,False
00:20,6253.19,2807.46,1466.02,1719.88,173.42,27.01,59.4,2018-07-09,Summer,Monday,False
00:25,6218.18,2787.86,1457.85,1714.21,172.26,26.93,59.07,2018-07-09,Summer,Monday,False
00:30,6201.23,2788.79,1451.98,1704.28,170.3,26.96,58.92,2018-07-09,Summer,Monday,False
00:35,6170.1,2761.87,1445.74,1705.1,171.79,26.98,58.62,2018-07-09,Summer,Monday,False
00:40,6172.35,2775.35,1444.35,1696.25,170.76,27.01,58.63,2018-07-09,Summer,Monday,False
00:45,6161.56,2771.33,1438.76,1695.72,170.26,26.96,58.53,2018-07-09,Summer,Monday,False
00:50,6136.88,2757.96,1437.07,1686.75,169.91,26.88,58.31,2018-07-09,Summer,Monday,False
00:55,6132.53,2756.99,1436.82,1683.27,170.39,26.8,58.26,2018-07-09,Summer,Monday,False
01:00,6116.42,2750.5,1431.59,1679.42,170.0,26.8,58.11,2018-07-09,Summer,Monday,False
01:05,6094.42,2742.43,1431.49,1666.07,169.73,26.8,57.9,2018-07-09,Summer,Monday,False
01:10,6074.91,2730.65,1427.82,1662.97,168.99,26.78,57.7,2018-07-09,Summer,Monday,False
01:15,6045.74,2718.52,1421.47,1653.3,168.47,26.55,57.43,2018-07-09,Summer,Monday,False
01:20,5986.3,2676.68,1403.57,1654.83,167.82,26.52,56.88,2018-07-09,Summer,Monday,False
01:25,5980.97,2678.46,1406.64,1646.57,165.93,26.55,56.82,2018-07-09,Summer,Monday,False
01:30,5958.84,2667.11,1399.16,1642.24,167.27,26.45,56.61,2018-07-09,Summer,Monday,False
01:35,5965.21,2669.78,1394.46,1649.85,167.97,26.47,56.68,2018-07-09,Summer,Monday,False
01:40,5944.28,2661.74,1396.53,1635.57,167.57,26.39,56.48,2018-07-09,Summer,Monday,False
01:45,5928.15,2654.06,1393.44,1633.11,164.76,26.47,56.31,2018-07-09,Summer,Monday,False
01:50,5906.73,2639.72,1388.49,1630.46,165.47,26.47,56.12,2018-07-09,Summer,Monday,False
01:55,5901.82,2642.13,1384.57,1626.37,166.25,26.42,56.08,2018-07-09,Summer,Monday,False
02:00,5881.81,2636.75,1373.85,1625.08,163.88,26.37,55.88,2018-07-09,Summer,Monday,False
02:05,5868.17,2632.55,1372.19,1616.86,164.47,26.34,55.76,2018-07-09,Summer,Monday,False
02:10,5828.01,2623.78,1347.48,1611.55,163.52,26.32,55.36,2018-07-09,Summer,Monday,False
02:15,5828.11,2622.72,1358.18,1603.02,162.49,26.34,55.36,2018-07-09,Summer,Monday,False
02:20,5803.46,2608.36,1357.79,1593.9,161.95,26.32,55.14,2018-07-09,Summer,Monday,False
02:25,5778.52,2600.35,1351.72,1583.48,161.75,26.32,54.9,2018-07-09,Summer,Monday,False
02:30,5778.83,2601.99,1346.67,1586.62,162.33,26.32,54.9,2018-07-09,Summer,Monday,False
02:35,5738.97,2572.13,1342.97,1581.01,162.03,26.32,54.51,2018-07-09,Summer,Monday,False
02:40,5739.08,2577.34,1344.67,1573.76,162.6,26.19,54.52,2018-07-09,Summer,Monday,False
02:45,5708.97,2561.58,1336.73,1569.68,160.55,26.19,54.24,2018-07-09,Summer,Monday,False
02:50,5686.62,2556.25,1329.36,1560.97,159.78,26.24,54.02,2018-07-09,Summer,Monday,False
02:55,5670.74,2555.73,1321.01,1555.49,158.4,26.24,53.87,2018-07-09,Summer,Monday,False
03:00,5653.78,2546.67,1317.5,1552.13,157.62,26.14,53.72,2018-07-09,Summer,Monday,False
03:05,5613.04,2524.41,1309.15,1542.96,157.08,26.11,53.33,2018-07-09,Summer,Monday,False
