TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:00,2343.820,961.400,505.790,732.100,110.380,12.200
00:05,2329.280,940.880,512.790,731.660,109.280,12.340
00:10,2321.220,938.610,507.430,731.750,106.750,12.340
00:15,2299.560,928.230,503.630,727.890,105.590,12.350
00:20,2292.040,928.130,499.740,723.130,106.750,12.150
00:25,2291.330,936.620,504.170,721.490,95.150,12.180
00:30,2286.410,938.210,497.610,722.770,94.310,11.980
00:35,2275.060,923.840,496.220,717.130,104.270,12.000
00:40,2258.270,915.710,486.190,719.610,103.260,12.000
00:45,2240.020,903.400,486.560,709.860,104.570,12.130
00:50,2245.580,918.590,488.330,712.490,92.690,11.980
00:55,2218.890,896.510,480.750,705.320,102.180,12.000
01:00,2206.450,894.200,476.370,699.130,102.680,12.010
01:05,2191.230,886.540,474.610,694.680,102.720,11.880
01:10,2182.580,888.110,470.340,687.460,103.960,11.850
01:15,2183.060,882.630,470.950,694.770,102.230,11.810
01:20,2168.190,874.580,472.640,687.670,100.930,11.760
01:25,2178.740,856.540,473.770,695.560,119.740,11.800
01:30,2150.300,864.770,467.770,686.030,99.520,11.780
01:35,2150.770,874.250,465.490,689.800,90.230,11.850
01:40,2146.950,860.500,465.320,687.310,101.040,11.710
01:45,2134.960,863.780,460.060,679.430,99.970,11.710
01:50,2129.660,863.580,456.620,678.760,99.270,11.730
01:55,2129.430,862.530,456.310,679.750,98.820,11.790
02:00,2126.630,872.360,457.990,675.860,88.430,11.760
02:05,2123.090,856.430,457.240,679.480,98.090,11.670
02:10,2134.140,860.950,457.300,683.710,100.170,11.720
02:15,2118.880,854.810,450.170,681.220,100.280,11.680
02:20,2117.150,853.050,461.330,672.520,98.460,11.680
02:25,2114.490,855.430,450.740,679.060,97.480,11.600
02:30,2110.960,851.700,453.520,677.550,96.470,11.690
02:35,2101.360,847.110,452.130,673.730,98.450,11.730
02:40,2099.550,845.080,451.560,670.430,98.570,11.710
02:45,2094.620,832.100,446.010,668.310,116.340,11.780
02:50,2080.810,846.570,443.000,661.560,98.240,11.660
02:55,2078.690,849.200,441.680,658.690,97.680,11.680
03:00,2072.740,839.490,443.590,660.550,97.750,11.700
03:05,2075.490,844.480,442.220,659.920,97.390,11.750
03:10,2080.080,847.670,440.160,661.770,98.890,11.870
03:15,2066.890,842.940,440.110,653.820,98.880,11.830
03:20,2063.130,827.140,440.510,665.540,98.580,11.760
03:25,2077.180,844.070,437.100,665.100,96.500,11.740
03:30,2071.790,845.120,438.530,659.570,97.070,11.810
03:35,2043.040,835.350,432.540,645.270,97.090,11.870
03:40,2058.250,838.780,432.280,659.060,96.620,11.900
03:45,2062.960,846.680,433.950,655.120,96.350,12.090
03:50,2063.590,847.870,435.950,653.370,94.890,11.900
03:55,2069.410,847.070,432.580,662.590,96.210,12.040
04:00,2071.870,848.020,436.220,662.740,96.360,12.240
04:05,2081.580,868.890,431.520,662.840,86.090,12.300
04:10,2077.310,859.320,431.420,658.710,95.910,12.470
04:15,2084.470,860.830,431.600,663.880,95.530,12.590
04:20,2089.410,866.760,433.230,661.920,96.730,12.660
04:25,2102.060,850.090,435.330,668.950,114.150,12.710
04:30,2110.000,870.880,436.040,672.100,97.710,12.820
04:35,2111.090,858.560,436.360,666.130,115.150,13.050
04:40,2115.850,875.170,440.430,672.860,96.060,13.250
04:45,2132.250,881.190,438.400,681.780,97.420,13.280
04:50,2148.420,898.050,442.570,677.610,97.850,13.490
04:55,2150.730,895.040,444.550,678.990,98.090,13.760
05:00,2175.500,897.260,451.280,691.420,100.630,14.210
05:05,2199.790,920.090,457.470,687.470,98.960,14.930
05:10,2219.860,934.500,457.430,690.290,100.900,15.430
05:15,2248.640,940.870,463.000,706.200,101.490,15.960
05:20,2282.450,963.840,466.760,710.980,103.020,16.240
05:25,2313.380,974.240,476.850,719.850,104.100,16.600
05:30,2350.310,971.420,492.130,726.990,120.430,17.030
05:35,2374.260,1005.150,491.360,731.790,104.370,17.830
05:40,2415.240,1028.660,502.830,754.010,93.850,18.020
05:45,2472.620,1040.980,513.410,767.790,109.630,18.380
05:50,2499.850,1061.250,514.380,773.270,109.000,18.920
05:55,2525.560,1072.270,521.730,780.310,107.940,19.370
06:00,2584.150,1102.240,533.250,794.540,109.750,19.660
06:05,2631.690,1120.040,548.530,807.070,109.410,20.340
06:10,2677.270,1128.660,556.470,833.460,112.760,20.690
06:15,2750.420,1175.130,578.030,835.130,112.880,21.230
06:20,2804.140,1196.360,591.770,847.580,115.590,21.490
06:25,2826.210,1199.920,602.630,859.220,117.790,21.570
06:30,2858.350,1207.480,608.950,874.180,120.540,21.980
06:35,2910.270,1236.980,618.950,878.570,118.100,21.860
06:40,2920.540,1257.060,630.570,881.780,101.510,21.910
06:45,2961.740,1267.260,620.590,904.440,118.840,22.440
06:50,2977.190,1256.850,644.570,900.780,124.690,22.590
06:55,2969.890,1245.140,652.440,899.310,124.120,22.920
07:00,2985.850,1268.060,651.730,890.630,123.310,22.970
07:05,2983.660,1287.670,638.300,877.820,130.180,22.720
07:10,2974.820,1251.400,647.220,898.760,126.620,22.400
07:15,2978.650,1242.790,660.980,891.950,128.680,22.210
07:20,2955.320,1242.690,636.580,896.930,127.330,22.080
07:25,2945.800,1230.080,636.680,878.650,151.170,22.030
07:30,2928.470,1238.470,640.420,872.560,129.240,20.670
07:35,2894.840,1215.050,632.530,862.880,134.010,20.770
07:40,2915.090,1237.570,623.770,869.520,136.490,21.310
07:45,2913.800,1238.640,628.360,870.420,126.270,22.380
07:50,2925.570,1207.820,643.720,883.050,138.110,22.280
07:55,2893.870,1219.430,609.330,879.160,145.440,22.090
08:00,2952.460,1240.080,633.140,874.320,149.650,22.200
08:05,2917.400,1208.590,627.880,879.900,150.650,22.110
08:10,2919.360,1241.140,621.720,878.100,131.290,22.570
08:15,2954.300,1233.940,630.890,878.600,157.050,22.410
08:20,2989.910,1245.680,626.220,905.050,157.730,22.500
08:25,2983.030,1237.140,624.080,915.940,154.380,22.690
08:30,2965.690,1230.440,617.710,903.310,160.410,22.510
08:35,2973.390,1266.690,606.350,881.500,164.320,22.560
08:40,2978.690,1242.040,617.250,897.160,171.690,22.590
08:45,3014.830,1307.500,634.000,872.360,151.330,22.440
08:50,2995.350,1265.070,612.440,898.480,168.210,22.410
08:55,3007.800,1246.220,638.710,902.050,178.690,22.300
09:00,3013.690,1279.010,618.520,892.040,173.130,22.090
09:05,3052.190,1304.770,630.340,892.340,175.290,22.070
09:10,3041.640,1285.950,620.210,925.370,155.770,22.040
09:15,3095.710,1245.700,647.890,969.380,185.530,22.290
09:20,3141.230,1279.580,649.640,978.290,177.980,22.350
09:25,3144.340,1270.950,663.370,981.370,182.190,22.360
09:30,3227.750,1305.020,673.020,1018.990,185.200,22.210
09:35,3237.670,1300.260,654.750,1036.070,192.130,22.330
09:40,3331.290,1353.850,689.990,1041.720,192.060,22.330
09:45,3305.800,1343.550,676.040,1041.800,192.200,22.590
09:50,3325.430,1344.090,689.950,1043.530,194.320,22.590
09:55,3269.070,1320.330,670.590,1049.780,174.760,22.750
10:00,3295.460,1336.730,673.630,1036.030,196.400,22.750
10:05,3266.070,1304.530,685.780,1034.220,191.910,22.370
10:10,3251.700,1321.770,679.060,1013.900,184.880,22.380
10:15,3291.250,1308.700,681.400,1051.820,193.710,22.740
10:20,3329.740,1355.600,682.060,1044.580,193.980,22.610
10:25,3303.850,1327.930,690.160,1039.270,194.370,22.480
10:30,3346.280,1331.310,704.540,1052.630,203.200,22.540
10:35,3344.800,1346.010,681.910,1072.740,176.940,22.590
10:40,3395.470,1341.990,714.570,1083.540,200.340,22.270
10:45,3397.340,1363.370,706.720,1066.040,205.220,22.280
10:50,3404.530,1364.250,711.040,1075.060,201.350,22.180
10:55,3413.640,1365.960,700.510,1087.560,204.530,22.070
11:00,3393.700,1344.030,712.710,1079.650,203.790,22.310
11:05,3396.200,1312.980,713.810,1102.500,211.670,22.490
11:10,3446.780,1351.900,734.970,1107.700,198.980,22.690
11:15,3429.020,1365.750,718.680,1084.400,205.140,22.220
11:20,3385.960,1343.710,712.720,1074.750,201.040,22.420
11:25,3414.610,1309.970,737.120,1119.420,196.970,22.380
11:30,3386.630,1322.040,723.330,1089.810,197.630,22.670
11:35,3384.640,1305.180,736.800,1083.290,206.120,22.450
11:40,3361.230,1271.310,736.930,1096.170,200.900,22.720
11:45,3414.720,1297.270,749.070,1111.420,202.210,22.680
11:50,3404.130,1294.580,747.480,1102.730,204.100,22.640
11:55,3402.840,1313.460,734.020,1103.300,199.600,20.320
12:00,3417.380,1307.640,738.690,1112.340,206.100,20.390
12:05,3386.600,1325.850,731.860,1080.330,197.040,21.400
12:10,3411.220,1362.220,746.580,1049.740,200.430,21.500
12:15,3422.900,1330.520,756.850,1072.260,203.400,21.170
12:20,3437.350,1352.880,764.380,1068.250,200.260,21.580
12:25,3386.440,1344.660,729.150,1055.290,203.580,21.630
12:30,3372.940,1325.810,742.590,1051.100,200.520,21.400
12:35,3380.040,1315.760,735.440,1070.610,202.940,21.390
12:40,3350.990,1316.110,730.190,1051.110,202.280,20.820
12:45,3361.770,1327.590,713.080,1065.660,200.860,20.980
12:50,3330.210,1317.030,722.130,1041.900,202.020,20.960
12:55,3317.950,1274.660,730.910,1060.110,200.190,20.770
13:00,3280.710,1289.480,727.440,1013.050,203.360,20.850
13:05,3210.170,1262.940,727.250,962.190,206.550,20.910
13:10,3175.250,1250.620,714.160,960.120,203.770,20.870
13:15,3134.910,1257.680,698.010,924.110,203.860,20.810
13:20,3149.580,1255.480,699.190,941.490,202.610,20.930
13:25,3118.900,1257.420,687.460,922.840,200.200,20.730
13:30,3112.450,1246.750,670.730,941.930,201.880,20.640
13:35,3153.640,1259.610,699.300,945.040,198.720,20.370
13:40,3156.980,1238.840,694.210,976.150,197.870,20.230
13:45,3194.800,1267.850,689.920,989.670,195.010,20.240
13:50,3164.550,1249.780,676.760,990.890,196.190,20.010
13:55,3154.020,1244.520,687.520,971.280,194.420,19.950
14:00,3158.060,1241.060,692.440,980.510,193.470,19.700
14:05,3187.660,1247.600,698.750,995.260,197.560,19.580
14:10,3198.010,1264.340,691.700,1007.200,184.740,19.570
14:15,3192.260,1253.560,684.580,1006.040,198.190,19.480
14:20,3208.430,1260.520,696.640,1002.640,198.820,19.420
