TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other
00:00,4742.93,2128.47,1077.37,1319.03,141.72,30.02,46.31999999999971
00:05,4674.32,2093.39,1060.05,1307.02,139.76,29.47,44.63000000000011
00:10,4656.38,2088.1,1052.99,1302.79,138.32,29.58,44.600000000000364
00:15,4656.77,2096.2,1050.08,1298.37,139.02,29.84,43.26000000000022
00:20,4652.77,2094.32,1046.41,1298.82,139.34,29.5,44.38000000000011
00:25,4636.25,2081.49,1050.48,1292.22,138.67,29.41,43.98000000000047
00:30,4612.74,2071.75,1044.19,1283.45,140.17,29.39,43.789999999999054
00:35,4579.29,2051.42,1038.69,1277.91,138.57,29.25,43.44999999999982
00:40,4559.35,2046.32,1030.46,1271.97,137.86,29.19,43.55000000000109
00:45,4539.54,2037.05,1028.55,1265.66,136.19,29.04,43.05000000000018
00:50,4518.42,2025.9,1023.05,1258.98,138.04,29.04,43.409999999999854
00:55,4498.91,2018.35,1020.92,1251.47,136.45,28.95,42.77000000000044
01:00,4482.85,2014.36,1014.55,1245.85,136.9,28.76,42.43000000000029
01:05,4458.59,2002.26,1012.88,1236.67,136.22,28.77,41.789999999999964
01:10,4422.56,1989.06,1000.32,1227.58,134.76,28.61,42.23000000000047
01:15,4406.51,1980.38,996.87,1223.89,134.66,28.57,42.14000000000033
01:20,4372.61,1968.89,992.97,1207.91,132.82,28.47,41.54999999999927
01:25,4360.62,1965.61,990.15,1199.91,133.42,28.62,42.909999999999854
01:30,4270.14,1890.55,983.59,1195.4,131.44,28.6,40.5600000000004
01:35,4289.1,1914.66,974.68,1195.33,132.18,28.45,43.80000000000018
01:40,4273.2,1914.35,972.07,1185.33,130.13,28.2,43.11999999999989
01:45,4247.01,1903.7,969.13,1175.42,130.12,28.3,40.340000000000146
01:50,4229.96,1889.62,968.51,1178.0,130.55,28.17,35.10999999999967
01:55,4212.77,1886.35,957.49,1171.11,129.33,28.15,40.340000000001055
02:00,4192.21,1879.73,942.96,1171.93,129.48,28.19,39.92000000000098
02:05,4122.33,1849.74,930.8,1145.45,129.66,27.8,38.88000000000011
02:10,4110.61,1843.83,926.35,1146.96,127.05,27.75,38.66999999999962
02:15,4093.41,1833.06,923.19,1142.16,127.53,27.73,39.73999999999978
02:20,4075.24,1828.86,917.38,1135.62,127.19,27.62,38.570000000000164
02:25,4068.4,1826.55,912.55,1133.0,127.62,27.61,41.070000000000164
02:30,4052.74,1817.66,906.1,1136.27,126.73,27.48,38.499999999999545
02:35,4030.7,1803.9,906.09,1129.09,127.12,27.58,36.92000000000007
02:40,4012.33,1799.29,899.82,1121.73,126.96,27.37,37.159999999999854
02:45,3974.75,1782.0,892.63,1108.97,126.84,27.18,37.129999999999654
02:50,3962.83,1776.98,888.89,1104.68,127.39,27.3,37.58999999999969
02:55,3946.74,1774.54,886.15,1096.05,125.32,27.19,37.48999999999978
03:00,3925.8,1764.51,880.62,1091.71,124.67,27.1,37.190000000000055
03:05,3907.85,1762.31,879.12,1077.71,124.66,27.02,37.0300000000002
03:10,3891.58,1750.68,873.98,1078.83,124.22,26.9,36.970000000000255
03:15,3862.31,1736.48,867.09,1071.44,123.33,27.0,36.9699999999998
03:20,3841.69,1729.77,858.84,1067.94,121.94,26.71,36.48999999999978
03:25,3829.22,1723.19,854.99,1065.77,122.05,26.91,36.30999999999949
03:30,3804.8,1713.45,849.91,1056.11,122.29,26.8,36.23999999999978
03:35,3772.11,1699.09,838.8,1047.16,123.83,26.67,36.559999999999945
03:40,3761.96,1703.68,837.04,1037.64,121.33,26.57,35.69999999999936
03:45,3753.92,1691.37,830.63,1047.42,122.0,26.56,35.940000000000055
03:50,3732.63,1684.75,827.84,1037.66,120.36,26.39,35.63000000000011
03:55,3715.96,1676.75,824.01,1033.05,120.18,26.11,35.85999999999967
04:00,3709.71,1675.2,823.38,1028.05,121.74,26.09,35.25
04:05,3682.75,1665.23,816.72,1019.28,120.12,26.0,35.400000000000546
04:10,3660.8,1654.17,812.72,1013.3,120.39,25.86,34.35999999999967
04:15,3628.88,1642.61,804.66,1002.37,118.48,25.73,35.0300000000002
04:20,3622.61,1641.61,795.96,1003.39,119.92,25.72,36.01000000000067
04:25,3611.77,1637.77,794.52,1002.71,117.97,25.77,33.0300000000002
04:30,3591.63,1632.55,792.06,988.84,119.42,25.62,33.14000000000033
04:35,3569.65,1622.3,787.9,981.7,117.88,25.8,34.070000000000164
04:40,3557.95,1617.39,784.19,979.36,117.61,25.57,33.82999999999947
04:45,3555.48,1614.38,783.06,980.26,118.87,25.7,33.21000000000049
04:50,3528.42,1600.99,776.84,971.56,119.43,25.76,33.840000000000146
04:55,3505.86,1592.36,773.34,962.03,119.13,25.71,33.29000000000042
05:00,3500.62,1585.03,778.54,960.23,117.77,25.8,33.25
05:05,3476.94,1579.36,769.19,953.0,116.01,25.94,33.4399999999996
05:10,3441.86,1565.58,756.82,944.59,116.21,25.98,32.679999999999836
05:15,3433.99,1558.28,761.96,940.6,115.29,25.74,32.120000000000346
05:20,3422.09,1552.38,760.08,939.76,112.26,25.43,32.179999999999836
05:25,3397.1,1544.21,756.81,926.69,111.78,25.27,32.33999999999969
05:30,3378.36,1535.44,752.72,920.49,112.27,25.33,32.11000000000058
05:35,3335.74,1512.51,748.79,907.29,110.8,24.79,31.55999999999949
05:40,3318.85,1492.54,746.6,909.28,106.76,24.82,38.849999999999454
05:45,3296.3,1484.75,740.49,903.45,111.7,24.92,30.99000000000069
05:50,3264.6,1473.11,734.08,887.52,111.24,24.66,33.99000000000024
05:55,3244.29,1463.77,734.11,879.85,111.59,24.48,30.48999999999978
06:00,3247.59,1460.93,734.27,885.36,111.88,24.66,30.490000000000236
06:05,3232.57,1454.17,730.65,878.95,112.51,24.89,31.399999999999636
06:10,3201.5,1440.46,728.62,865.78,111.66,24.35,30.630000000000564
06:15,3187.18,1430.93,726.93,862.59,112.12,24.33,30.279999999999745
06:20,3179.14,1425.95,725.76,863.07,110.33,24.49,29.539999999999964
06:25,3166.77,1418.96,724.64,856.92,111.61,24.57,30.06999999999971
06:30,3166.41,1415.18,726.02,859.78,110.93,24.54,29.96000000000049
06:35,3163.42,1408.99,729.19,858.49,112.17,24.59,29.98999999999978
06:40,3147.25,1397.55,729.26,854.49,111.41,24.66,29.88000000000011
06:45,3125.23,1385.36,725.4,849.01,111.55,24.59,29.320000000000164
06:50,3120.22,1356.83,732.23,865.66,111.34,24.63,29.529999999999745
06:55,3117.65,1361.78,728.43,858.09,112.59,24.54,32.2199999999998
07:00,3104.66,1350.26,728.41,857.87,113.72,24.38,30.019999999999982
07:05,3092.24,1345.34,724.86,855.52,113.7,23.66,29.16000000000031
07:10,3073.42,1335.84,719.12,851.35,113.53,23.53,30.049999999999727
07:15,3071.73,1335.91,722.17,848.45,113.41,22.59,29.200000000000273
07:20,3063.96,1327.52,720.2,847.49,114.78,23.32,30.649999999999636
07:25,3046.54,1318.47,714.65,845.04,114.68,23.29,30.41000000000031
07:30,3045.16,1312.91,715.22,854.59,113.57,23.47,25.399999999999636
07:35,3028.67,1304.8,707.77,849.18,115.02,23.43,28.470000000000255
07:40,3029.33,1300.66,708.57,849.95,118.81,23.48,27.859999999999673
07:45,3012.19,1292.42,703.88,848.63,116.37,22.04,28.84999999999991
07:50,3001.1,1288.41,704.45,840.08,118.34,23.3,26.519999999999527
07:55,2993.42,1284.72,702.05,837.5,117.76,22.99,28.40000000000009
08:00,2972.27,1279.3,696.41,826.48,118.49,23.18,28.41000000000031
08:05,2955.48,1274.6,689.31,822.31,117.01,23.27,28.980000000000018
08:10,2940.3,1292.78,676.71,800.61,118.58,23.48,28.140000000000327
08:15,2930.23,1282.55,673.79,805.05,117.72,23.54,27.580000000000382
08:20,2929.27,1284.12,670.49,804.4,118.84,23.78,27.639999999999873
08:25,2928.29,1286.41,665.96,802.76,120.08,23.95,29.13000000000011
08:30,2928.24,1289.76,664.75,801.57,122.71,24.19,25.259999999999764
08:35,2919.73,1289.59,657.49,795.59,125.25,24.23,27.579999999999927
08:40,2914.37,1282.93,656.84,800.21,122.11,24.53,27.749999999999545
08:45,2904.19,1281.31,651.83,795.36,123.21,24.91,27.570000000000164
08:50,2906.06,1287.54,649.64,792.53,122.85,25.16,28.340000000000146
08:55,2892.62,1282.8,642.8,790.56,124.05,25.19,27.2199999999998
09:00,2910.98,1289.19,651.63,792.36,126.07,25.16,26.56999999999971
09:05,2910.42,1291.81,646.87,792.92,126.47,25.43,26.920000000000528
09:10,2909.5,1294.94,649.18,786.77,126.12,25.6,26.890000000000327
09:15,2936.51,1306.4,654.17,794.3,128.89,25.6,27.150000000000546
09:20,2942.9,1303.57,655.44,797.72,131.67,25.61,28.889999999999873
09:25,2960.45,1308.05,660.93,802.96,132.8,25.8,29.9099999999994
09:30,2990.84,1323.71,658.31,816.29,132.92,25.85,33.76000000000022
09:35,2989.1,1316.42,661.39,823.85,133.6,25.75,28.090000000000146
09:40,3010.67,1336.18,667.41,818.5,133.38,25.83,29.36999999999989
09:45,3017.48,1333.12,666.49,829.72,136.02,26.04,26.090000000000146
09:50,3051.74,1342.49,673.73,844.31,136.23,26.12,28.860000000000127
09:55,3051.69,1353.64,677.25,830.62,135.36,26.14,28.679999999999836
10:00,3055.16,1354.92,675.45,838.07,134.12,26.2,26.40000000000009
10:05,3076.74,1364.56,681.96,837.85,136.8,26.33,29.23999999999978
10:10,3079.02,1362.49,681.65,840.41,138.63,26.6,29.240000000000236
10:15,3090.7,1353.94,677.92,862.02,140.51,26.89,29.419999999999618
10:20,3085.11,1360.23,681.96,847.58,139.29,26.79,29.26000000000022
10:25,3085.29,1361.54,677.67,843.54,140.4,26.95,35.190000000000055
10:30,3096.07,1374.45,679.82,843.69,141.75,27.1,29.26000000000022
10:35,3109.73,1380.23,684.47,843.38,145.07,27.31,29.269999999999982
10:40,3110.81,1381.54,685.99,841.43,143.69,27.33,30.830000000000382
10:45,2772.98,1242.73,618.75,713.16,144.63,27.52,26.190000000000055
10:50,3119.15,1377.76,688.31,848.76,146.37,27.63,30.320000000000164
10:55,3125.09,1381.73,689.05,851.36,145.35,27.5,30.100000000000364
11:00,3147.26,1393.91,691.41,857.97,146.99,27.14,29.8400000000006
11:05,3165.94,1399.11,695.06,868.4,146.75,27.62,29.0
11:10,3169.38,1403.0,694.43,868.95,146.19,27.53,29.279999999999745
11:15,3181.24,1411.8,695.63,866.53,149.07,27.74,30.4699999999998
11:20,3176.7,1403.11,693.82,872.03,149.85,27.88,30.009999999999764
11:25,3180.13,1403.71,695.01,873.3,149.62,28.04,30.449999999999818
11:30,3197.42,1418.59,699.42,870.92,149.75,28.18,30.5600000000004
11:35,3197.47,1415.88,698.67,873.88,149.28,28.15,31.609999999999218
11:40,3205.52,1417.39,699.67,877.92,149.24,28.21,33.08999999999969
11:45,3226.09,1425.89,706.05,877.25,150.13,28.26,38.50999999999976
11:50,3233.69,1434.41,707.43,882.36,150.33,28.26,30.899999999999636
11:55,3239.19,1429.77,709.07,890.74,150.53,28.47,30.610000000000127
12:00,3259.02,1448.51,710.59,894.76,145.77,28.36,31.0300000000002
12:05,3265.25,1434.58,717.22,908.34,145.44,28.78,30.889999999999418
12:10,3282.62,1461.81,715.93,899.5,145.91,28.43,31.04000000000042
12:15,3311.48,1475.82,721.49,907.78,145.43,28.84,32.11999999999989
12:20,3327.5,1481.2,726.15,913.45,146.43,28.73,31.539999999999964
12:25,3329.23,1518.35,601.5,1002.55,145.94,29.05,31.840000000000146
12:30,3339.59,1526.29,599.85,1007.49,146.0,28.7,31.26000000000022
12:35,3346.89,1529.31,602.49,1007.94,146.38,29.0,31.769999999999527
12:40,3362.76,1539.05,603.06,1014.99,144.59,28.98,32.0900000000006
12:45,3375.92,1540.2,605.26,1025.13,143.88,29.11,32.33999999999969
12:50,3380.11,1545.56,604.15,1022.61,147.32,28.8,31.669999999999618
12:55,3391.67,1551.8,604.74,1027.03,146.71,29.07,32.320000000000164
