TIMESLOT,Year,Month,Day,Season,DayOfWeek,IsHoliday,Prediction
00:00,2025,1,26,3,6,True,2487.79787713587
00:05,2025,1,26,3,6,True,2487.79787713587
00:10,2025,1,26,3,6,True,2487.79787713587
00:15,2025,1,26,3,6,True,2487.79787713587
00:20,2025,1,26,3,6,True,2472.3183157598505
00:25,2025,1,26,3,6,True,2420.3175274634095
00:30,2025,1,26,3,6,True,2358.1034061389355
00:35,2025,1,26,3,6,True,2296.55112108003
00:40,2025,1,26,3,6,True,2279.725371678048
00:45,2025,1,26,3,6,True,2277.7550122103517
00:50,2025,1,26,3,6,True,2277.7550122103517
00:55,2025,1,26,3,6,True,2233.6121444423557
01:00,2025,1,26,3,6,True,2102.2949250399374
01:05,2025,1,26,3,6,True,1980.5980983356294
01:10,2025,1,26,3,6,True,1958.310557043123
01:15,2025,1,26,3,6,True,1958.310557043123
01:20,2025,1,26,3,6,True,1958.310557043123
01:25,2025,1,26,3,6,True,1958.310557043123
01:30,2025,1,26,3,6,True,1958.310557043123
01:35,2025,1,26,3,6,True,1958.310557043123
01:40,2025,1,26,3,6,True,1958.310557043123
01:45,2025,1,26,3,6,True,1947.8893842797156
01:50,2025,1,26,3,6,True,1934.3474283289354
01:55,2025,1,26,3,6,True,1916.5298893948157
02:00,2025,1,26,3,6,True,1908.5192176956573
02:05,2025,1,26,3,6,True,1900.8798005967994
02:10,2025,1,26,3,6,True,1897.8591635244884
02:15,2025,1,26,3,6,True,1896.42804707454
02:20,2025,1,26,3,6,True,1896.42804707454
02:25,2025,1,26,3,6,True,1896.42804707454
02:30,2025,1,26,3,6,True,1896.42804707454
02:35,2025,1,26,3,6,True,1896.42804707454
02:40,2025,1,26,3,6,True,1896.42804707454
02:45,2025,1,26,3,6,True,1896.42804707454
02:50,2025,1,26,3,6,True,1896.42804707454
02:55,2025,1,26,3,6,True,1896.42804707454
03:00,2025,1,26,3,6,True,1896.42804707454
03:05,2025,1,26,3,6,True,1896.42804707454
03:10,2025,1,26,3,6,True,1896.42804707454
03:15,2025,1,26,3,6,True,1896.42804707454
03:20,2025,1,26,3,6,True,1896.42804707454
03:25,2025,1,26,3,6,True,1896.42804707454
03:30,2025,1,26,3,6,True,1896.42804707454
03:35,2025,1,26,3,6,True,1896.42804707454
03:40,2025,1,26,3,6,True,1896.42804707454
03:45,2025,1,26,3,6,True,1896.42804707454
03:50,2025,1,26,3,6,True,1896.42804707454
03:55,2025,1,26,3,6,True,1896.42804707454
04:00,2025,1,26,3,6,True,1896.42804707454
04:05,2025,1,26,3,6,True,1896.42804707454
04:10,2025,1,26,3,6,True,1896.42804707454
04:15,2025,1,26,3,6,True,1896.42804707454
04:20,2025,1,26,3,6,True,1896.42804707454
04:25,2025,1,26,3,6,True,1896.42804707454
04:30,2025,1,26,3,6,True,1896.42804707454
04:35,2025,1,26,3,6,True,1896.42804707454
04:40,2025,1,26,3,6,True,1896.42804707454
04:45,2025,1,26,3,6,True,1896.42804707454
04:50,2025,1,26,3,6,True,1896.42804707454
04:55,2025,1,26,3,6,True,1930.6914954169836
05:00,2025,1,26,3,6,True,1988.522623320682
05:05,2025,1,26,3,6,True,2035.8378573305101
05:10,2025,1,26,3,6,True,2041.1568393798193
05:15,2025,1,26,3,6,True,2129.1303873149636
05:20,2025,1,26,3,6,True,2161.802212773201
05:25,2025,1,26,3,6,True,2175.0126240297773
05:30,2025,1,26,3,6,True,2177.312524493857
05:35,2025,1,26,3,6,True,2134.365109629268
05:40,2025,1,26,3,6,True,2127.5761278157947
05:45,2025,1,26,3,6,True,2128.0257619359627
05:50,2025,1,26,3,6,True,2202.803977548434
05:55,2025,1,26,3,6,True,2253.9636624275813
06:00,2025,1,26,3,6,True,2316.3884199056897
06:05,2025,1,26,3,6,True,2355.804635571621
06:10,2025,1,26,3,6,True,2393.8108492220213
06:15,2025,1,26,3,6,True,2458.178738458173
06:20,2025,1,26,3,6,True,2647.6037413500308
06:25,2025,1,26,3,6,True,2970.6036357947364
06:30,2025,1,26,3,6,True,3256.5761860699563
06:35,2025,1,26,3,6,True,3277.303264335623
06:40,2025,1,26,3,6,True,3316.1998824489406
06:45,2025,1,26,3,6,True,3351.1655140477837
06:50,2025,1,26,3,6,True,3387.3566738172412
06:55,2025,1,26,3,6,True,3406.457454989943
07:00,2025,1,26,3,6,True,3421.4934547082225
07:05,2025,1,26,3,6,True,3562.084951285917
07:10,2025,1,26,3,6,True,3882.1724874417414
07:15,2025,1,26,3,6,True,3919.0994661569475
07:20,2025,1,26,3,6,True,3956.9837377946055
07:25,2025,1,26,3,6,True,3971.1047658332577
07:30,2025,1,26,3,6,True,3971.1047658332577
07:35,2025,1,26,3,6,True,3987.0760366483355
07:40,2025,1,26,3,6,True,4156.026917145084
07:45,2025,1,26,3,6,True,4364.910070942698
07:50,2025,1,26,3,6,True,4455.574007523578
07:55,2025,1,26,3,6,True,4525.54833976944
08:00,2025,1,26,3,6,True,4575.475463405398
08:05,2025,1,26,3,6,True,4593.6773055385265
08:10,2025,1,26,3,6,True,4593.6773055385265
08:15,2025,1,26,3,6,True,4596.754004503888
08:20,2025,1,26,3,6,True,4596.754004503888
08:25,2025,1,26,3,6,True,4596.754004503888
08:30,2025,1,26,3,6,True,4600.558754075071
